Portfolio_ID,Product_Type,Contract_Length_Years,Direct_Participation_Features,Revenue_Pattern,IFRS17_Model,BEL_Net,Risk_Margin,Technical_Provisions,Own_Funds,SCR_Net,Local_GAAP_Reserves,Statutory_Reserves,Measurement_Date,Regulatory_Jurisdiction
PORT001,Short_Tail_Non_Life,0.75,False,Level,PAA,5000000,300000,5300000,8000000,6000000,5200000,5150000,2024-01-01,EU
PORT002,Life_Annuity,25.00,False,Level,GMM,15000000,1200000,16200000,25000000,18000000,15800000,16000000,2024-01-01,EU
PORT003,Savings_Product,15.00,True,Front_Loaded,VFA,8000000,600000,8600000,12000000,9000000,8400000,8500000,2024-01-01,EU
PORT004,Long_Tail_Non_Life,3.00,False,Level,GMM,3000000,200000,3200000,5000000,3500000,3150000,3180000,2024-01-01,EU
PORT005,Health_Insurance,1.00,False,Level,PAA,2000000,150000,2150000,3500000,2500000,2100000,2120000,2024-01-01,EU
PORT006,Reinsurance,2.50,False,Level,GMM,6000000,400000,6400000,10000000,7000000,6300000,6350000,2024-01-01,EU
PORT007,Group_Benefits,1.00,False,Level,PAA,4000000,250000,4250000,6500000,4500000,4200000,4220000,2024-01-01,EU
PORT008,Investment_Linked,10.00,True,Level,VFA,12000000,800000,12800000,20000000,15000000,12500000,12600000,2024-01-01,EU
PORT009,Term_Life,20.00,False,Level,GMM,10000000,700000,10700000,16000000,12000000,10500000,10600000,2024-01-01,EU
PORT010,Endowment,18.00,False,Level,GMM,9000000,600000,9600000,14000000,10500000,9400000,9450000,2024-01-01,EU
Total,,,False,,,74000000,5200000,79200000,120000000,88000000,77700000,78000000,2024-01-01,EU
